Password,Symbol start,# chunks,# characters,Unsentence like caps,mixed character string,pronounceable,LDP
atawfedd,5alca,0,0,4,0,0,-2,2
ea6+grirlyawch,0,0,5,0,0,-1,4
cydfoj'1ghecmo,0,0,4,0,0,-2,2
genyid8*liwadd,0,0,5,0,0,-2,3
vifdunhu1,ad,0,0,4,0,0,-2,2
atnak)5bydebwo,0,0,5,0,0,-2,3
jeesbyadvi0/sl,0,0,5,0,0,-1,4
vadac#2vigdun,0,0,4,0,0,-2,2
maphfe$3bliovp,0,0,4,0,0,-2,2
wranaccid7+wam,0,0,4,0,0,-2,2
ryb2)madcuefi,0,0,4,0,0,-2,2
baidmid#1waud,0,0,4,0,0,-2,2
didpos&4dauka,0,0,4,0,0,-2,2
migh%8oidmepta,0,0,4,0,0,-2,2
krect3)uccavpi,0,0,4,0,0,-2,2
driwoph/lcadik,0,0,5,0,0,-2,3
eeph7.oundad,0,0,4,0,0,-2,2
nuebcokboc(5we,0,0,4,0,0,-2,2
yawbav6'decgin,0,0,5,0,0,-2,3
coc3)cegvegr,0,0,3,0,0,-1,2
ib*0cecsyacoa,0,0,4,0,0,-2,2
nuj$0ophdajzy,0,0,4,0,0,-2,2
crymsyu3/slahi,0,0,4,0,0,-2,2
blivoylg-9ya,0,0,3,0,0,-2,1
phobuphapaf'6c,0,0,5,0,0,-1,4
moimges1)ufded,0,0,4,0,0,-2,2
egsh'1yutatgee,0,0,4,0,0,-2,2
bod3,voanfuruf,0,0,4,0,0,-2,2
vawcag)0ocda,0,0,3,0,0,-2,1
deikviem*2oxro,0,0,4,0,0,-2,2
unharvosp(6itj,0,0,5,0,0,-2,3
coudgagg3*um,0,0,4,0,0,-2,2
bot0/aygtycs,0,0,3,0,0,-2,1
daddemri/5hagn,0,0,4,0,0,-2,2
nad%5badnacsy,0,0,4,0,0,-2,2
pakgoc6&cahioc,0,0,5,0,0,-2,3
skab3$oymcebca,0,0,5,0,0,-2,3
sadnabdej8/u,0,0,4,0,0,-1,3
ed7,acvuccufba,0,0,5,0,0,-2,3
thaf-3wyctov,0,0,3,0,0,-2,1
eik'4atatudda,0,0,4,0,0,-2,2
meac.7debphif,0,0,4,0,0,-2,2
du/3agvanlounb,0,0,4,0,0,-2,2
uchcajaldej&8a,0,0,5,0,0,-1,4
ujbiad'0hyuan,0,0,4,0,0,-2,2
legnogej/8eapb,0,0,4,0,0,-2,2
cyib)9anwevyak,0,0,4,0,0,-2,2
tejod-7jabkupc,0,0,5,0,0,-2,3
dylfye1-flacva,0,0,5,0,0,-2,3
cemrix4)dedjac,0,0,5,0,0,-2,3
otju9.awjemshi,0,0,5,0,0,-2,3
udisekmaj2#oxi,0,0,4,0,0,-2,2
dootvic-2varad,0,0,5,0,0,-2,3
bengaf5'pydi,0,0,4,0,0,-2,2
nudurwug5-cie,0,0,4,0,0,-1,3
eg-6buhuzvak,0,0,3,0,0,-2,1
ac6-ujutvani,0,0,4,0,0,-1,3
cysyohafcu9'oc,0,0,5,0,0,-1,4
rhel5-oninro,0,0,4,0,0,-2,2
acoitcedgaif#6,0,0,5,0,0,-1,4
cobfeb9*naleda,0,0,5,0,0,-2,3
obquiv)7roipac,0,0,4,0,0,-2,2
rieghad&8yesuv,0,0,5,0,0,-2,3
