originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
POSITION-gives-madrid-FIRM,0,2,3,1,0,-3,3,31.711042858865454,POSITIONFIRMgivesmadrid---,-31.711042858865454,0,-2,-3,-1,0,3,-3,7,-7,7,-7,7,-7,26,23,0,3
moon-verb-WINTER-ALTHOUGH,0,2,2,1,0,-3,2,29.454093215492634,WINTERALTHOUGHmoonverb---,-29.454093215492634,0,-2,-2,-1,0,3,-2,7,-7,7,-7,7,-7,25,22,0,3
FURTHER-tools-AMERICA-smell,0,2,4,1,0,-3,4,32.417567339467524,FURTHERAMERICAtoolssmell---,-32.417567339467524,0,-2,-4,-1,0,3,-4,7,-7,7,-7,7,-7,27,24,0,3
answer-WHOLE-THUS-white,0,2,1,1,0,-3,1,28.148106664474284,WHOLETHUSanswerwhite---,-28.148106664474284,0,-2,-1,-1,0,3,-1,7,-7,7,-7,7,-7,23,20,0,3
plan-HURT-knew-whom,0,2,-1,0,0,-3,-2,20.75007559050114,HURTplanknewwhom---,-20.75007559050114,0,-2,1,0,0,3,2,7,-7,7,-7,7,-7,19,16,0,3
eggs-alabama-FEET-reason,0,2,2,0,0,-3,1,23.53012910652518,FEETeggsalabamareason---,-23.53012910652518,0,-2,-2,0,0,3,-1,7,-7,7,-7,7,-7,24,21,0,3
height-OUGHT-LIGHT-COLLEGE,0,2,3,2,0,-3,4,27.967534418832486,OUGHTLIGHTCOLLEGEheight---,-27.967534418832486,0,-2,-3,-2,0,3,-4,7,-7,7,-7,7,-7,26,23,0,3
than-GREEN-QUICKLY-SELL,0,2,2,2,0,-3,3,23.03262944705436,GREENQUICKLYSELLthan---,-23.03262944705436,0,-2,-2,-2,0,3,-3,7,-7,7,-7,7,-7,23,20,0,3
monday-DECIMAL-TRAINING-draw,0,2,4,1,0,-3,4,33.31803166591661,DECIMALTRAININGmondaydraw---,-33.31803166591661,0,-2,-4,-1,0,3,-4,7,-7,7,-7,7,-7,28,25,0,3
proud-which-SPRING-SLEEP,0,2,2,1,0,-3,2,29.41114107030809,SPRINGSLEEPproudwhich---,-29.41114107030809,0,-2,-2,-1,0,3,-2,7,-7,7,-7,7,-7,24,21,0,3
paper-LEAST-shop-CAME,0,2,1,1,0,-3,1,25.946472803304644,LEASTCAMEpapershop---,-25.946472803304644,0,-2,-1,-1,0,3,-1,7,-7,7,-7,7,-7,21,18,0,3
ENOUGH-GOLD-strange-seat,0,2,2,1,0,-3,2,29.41114107030809,ENOUGHGOLDstrangeseat---,-29.41114107030809,0,-2,-2,-1,0,3,-2,7,-7,7,-7,7,-7,24,21,0,3
HALT-example-storm-POOR,0,2,2,1,0,-3,2,27.733069165195445,HALTPOORexamplestorm---,-27.733069165195445,0,-2,-2,-1,0,3,-2,7,-7,7,-7,7,-7,23,20,0,3
