originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
v1!_VL,0,1,0,1,0,0,2,45.882121961743465,VLv1!_,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,1,0,0,3,14,11,14,11,7,3,1,3
t4r!J1,0,0,1,0,1,0,2,45.882121961743465,Jtr41!,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,0,0,0,2,16,10,16,10,7,3,2,2
r]6J+N,0,1,0,0,0,0,1,45.882121961743465,JNr6]+,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,1,0,0,3,17,11,17,11,7,3,1,3
q856VW,0,0,2,1,1,0,4,45.882121961743465,VWq856,37.16787644407734,8.714245517666123,18.992681996992346,0,0,2,1,0,0,3,14,11,14,11,7,3,3,1
o5;*nX,0,1,0,1,0,0,2,45.882121961743465,Xon5;*,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,-1,1,13,10,13,10,7,3,1,3
mo3u+H,0,0,1,0,1,-1,1,45.882121961743465,Hmou3+,37.16787644407734,8.714245517666123,18.992681996992346,0,0,2,0,0,-1,1,16,10,16,10,7,4,1,2
i2)2WQ,0,0,0,1,0,0,1,45.882121961743465,WQi22),36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,1,0,0,3,14,11,14,11,7,3,2,2
g8:6AR,0,0,0,1,0,-1,0,45.882121961743465,ARg86:,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,1,0,-1,2,14,11,14,11,7,3,2,2
d:4}nY,0,1,0,1,0,-1,1,45.882121961743465,Ydn4:},37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,-1,1,13,10,13,10,7,3,1,3
c8>|NG,0,1,0,1,0,0,2,45.882121961743465,NGc8>|,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,1,0,0,3,14,11,14,11,7,3,1,3
8l^Q-T,0,1,0,0,0,0,1,45.882121961743465,QTl8^-,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,1,0,0,3,20,11,20,11,7,3,1,3
7s$U]p,0,1,0,0,0,0,1,45.882121961743465,Usp7$],37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,-1,1,19,10,19,10,7,3,1,3
7*pauR,0,0,1,1,0,-1,1,45.882121961743465,Rpau7*,37.16787644407734,8.714245517666123,18.992681996992346,0,0,2,0,0,-1,1,13,10,13,10,7,4,1,2
5c2`Qe,0,0,1,0,1,0,2,45.882121961743465,Qce52`,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,0,0,0,2,16,10,16,10,7,3,2,2
4o6&4D,0,0,1,0,1,0,2,45.882121961743465,Do464&,37.16787644407734,8.714245517666123,18.992681996992346,0,0,2,0,0,-1,1,16,10,16,10,7,2,3,2
3qq:Q-,0,1,1,0,0,0,2,45.882121961743465,Qqq3:-,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,0,2,16,10,16,10,7,3,1,3
3.bH1o,0,0,1,1,1,0,3,45.882121961743465,Hbo31.,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,0,0,-1,1,16,10,16,10,7,3,2,2
2fKIl1,0,0,2,1,1,-1,3,45.882121961743465,KIfl21,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,1,0,-1,2,14,11,14,11,7,4,2,1
1v]0JL,0,0,0,1,0,0,1,45.882121961743465,JLv10],36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,1,0,0,3,17,11,17,11,7,3,2,2
1q!+In,0,1,0,0,0,-1,0,45.882121961743465,Iqn1!+,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,0,2,16,10,16,10,7,3,1,3
0o|0cV,0,0,0,1,0,0,1,45.882121961743465,Voc00|,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,0,0,-1,1,16,10,16,10,7,3,2,2
=66c&Q,1,0,1,0,0,0,2,45.882121961743465,Qc66=&,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,0,2,16,10,16,10,7,2,2,3
<bu1'W,1,0,1,0,0,-1,1,45.882121961743465,Wbu1<',37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,-1,1,16,10,16,10,7,3,1,3
+u4Aj^,1,0,1,0,1,0,3,45.882121961743465,Auj4+^,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,0,2,16,10,16,10,7,3,1,3
/t0[2B,1,0,0,0,0,0,1,45.882121961743465,Bt02/[,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,0,2,16,10,16,10,7,2,2,3
)7f0(O,1,0,1,0,1,0,3,45.882121961743465,Of70)(,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,-1,1,16,10,16,10,7,2,2,3
%6iCR5,1,0,1,1,1,0,4,45.882121961743465,CRi65%,36.58291394335619,9.29920801838728,20.26760668597883,0,0,2,1,0,-1,2,14,11,14,11,7,3,2,2
!g3Fy\,1,0,1,0,1,-1,2,45.882121961743465,Fgy3!\,37.16787644407734,8.714245517666123,18.992681996992346,0,1,1,0,0,-1,1,16,10,16,10,7,3,1,3
y7]Nw&v,0,1,0,0,0,0,1,52.4367108134211,Nywv7]&,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,-1,2,17,11,17,11,8,4,1,3
y;7)12I,0,1,0,0,0,0,1,52.4367108134211,Iy712;),42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,-1,2,14,11,14,11,8,2,3,3
v3/Sj[j,0,1,0,0,0,0,1,52.4367108134211,Svjj3/[,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,0,3,17,11,17,11,8,4,1,3
v0/kR]F,0,1,0,1,0,0,2,52.4367108134211,RFvk0/],41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,0,4,18,12,18,12,8,4,1,3
u7c73?I,0,0,2,0,1,0,3,52.4367108134211,Iuc773?,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,0,0,0,2,17,11,17,11,8,3,3,2
tum7)Pu,0,0,1,0,0,-2,-1,52.4367108134211,Ptumu7),42.72246529575498,9.714245517666123,18.525657629882797,0,0,2,0,0,-1,1,14,11,14,11,8,5,1,2
t1'UpfH,0,0,1,1,0,-1,1,52.4367108134211,UHtpf1',41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,0,3,15,12,15,12,8,5,1,2
s6g[(N2,0,1,1,0,1,0,3,52.4367108134211,Nsg62[(,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,0,0,0,3,17,11,17,11,8,3,2,3
"r5,0&oC",0,1,0,1,0,0,2,52.4367108134211,"Cro50,&",41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,0,0,-1,2,14,11,14,11,8,3,2,3
"q,o4WX^",0,1,1,1,1,0,4,52.4367108134211,"WXqo4,^",41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,0,4,18,12,18,12,8,4,1,3
