originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
@k5kl$MT,1,0,-1,0,1,0,1,10.714245517666122,MTkkl5@$,-10.714245517666122,-1,0,1,0,-1,0,-1,7,-7,7,-7,7,-7,8,5,1,2
5#^JRIdf,0,1,-1,0,0,0,0,10.714245517666122,JRIdf5#^,-10.714245517666122,0,-1,1,0,0,0,0,1,-1,1,-1,1,-1,8,5,1,2
s|}3CVI~,0,2,-1,0,0,0,1,10.129283016944967,CVIs3|}~,-10.129283016944967,0,-2,1,0,0,0,-1,3,-3,3,-3,3,-3,8,4,1,3
gF$8*-a+,0,2,-1,1,0,1,3,9.714245517666122,Fga8$*-+,-9.714245517666122,0,-2,1,-1,0,-1,-3,3,-3,3,-3,3,-3,8,3,1,4
8IBrUMZ*,0,0,0,0,0,0,0,8.39231742277876,IBUMZr8*,-8.39231742277876,0,0,0,0,0,0,0,3,-3,3,-3,3,-3,8,6,1,1
uW}i98!<,0,2,-1,1,0,0,2,10.714245517666122,Wui98}!<,-10.714245517666122,0,-2,1,-1,0,0,-2,3,-3,3,-3,3,-3,8,3,2,3
$j0x=<UC,1,0,-1,0,1,0,1,10.714245517666122,UCjx0$=<,-10.714245517666122,-1,0,1,0,-1,0,-1,7,-7,7,-7,7,-7,8,4,1,3
a6Jy{d!~,0,2,-1,0,1,0,2,10.129283016944967,Jayd6{!~,-10.129283016944967,0,-2,1,0,-1,0,-2,6,-6,6,-6,6,-6,8,4,1,3
?|lw^qI4,1,0,-2,1,0,1,1,10.129283016944967,Ilwq4?|^,-10.129283016944967,-1,0,2,-1,0,-1,-1,6,-6,6,-6,6,-6,8,4,1,3
<uO3B0QT,1,0,-1,0,1,1,2,9.714245517666122,OBQTu30<,-9.714245517666122,-1,0,1,0,-1,-1,-2,7,-7,7,-7,7,-7,8,5,2,1
7^T*~yzA,0,2,-2,0,0,0,0,10.714245517666122,TAyz7^*~,-10.714245517666122,0,-2,2,0,0,0,0,4,-4,4,-4,4,-4,8,4,1,3
"e2,}Y{+z",0,2,-1,0,0,1,2,9.714245517666122,"Yez2,}{+",-9.714245517666122,0,-2,1,0,0,-1,-2,4,-4,4,-4,4,-4,8,3,1,4
b+z9f(E&,0,2,-1,0,1,1,3,10.129283016944967,Ebzf9+(&,-10.129283016944967,0,-2,1,0,-1,-1,-3,9,-9,9,-9,9,-9,8,4,1,3
-#N1&([m,1,0,-1,0,0,0,0,8.39231742277876,Nm1-#&([,-8.39231742277876,-1,0,1,0,0,0,0,4,-4,4,-4,4,-4,8,2,1,5
qG|{Kh:2,0,2,-2,0,0,0,0,10.714245517666122,GKqh2|{:,-10.714245517666122,0,-2,2,0,0,0,0,3,-3,3,-3,3,-3,8,4,1,3
%dH~7Zy=,1,0,-1,0,0,0,0,10.714245517666122,HZdy7%~=,-10.714245517666122,-1,0,1,0,0,0,0,6,-6,6,-6,6,-6,8,4,1,3
ux@7A#UQ,0,1,-2,0,0,0,-1,10.714245517666122,AUQux7@#,-10.714245517666122,0,-1,2,0,0,0,1,4,-4,4,-4,4,-4,8,5,1,2
f/]ZeCW3,0,1,-1,0,0,0,0,10.714245517666122,ZCWfe3/],-10.714245517666122,0,-1,1,0,0,0,0,3,-3,3,-3,3,-3,8,5,1,2
0J[.m9GN,0,1,-1,0,1,0,1,10.714245517666122,JGNm09[.,-10.714245517666122,0,-1,1,0,-1,0,-1,7,-7,7,-7,7,-7,8,4,2,2
_.gU{+$7,1,0,-1,1,0,0,1,8.39231742277876,Ug7_.{+$,-8.39231742277876,-1,0,1,-1,0,0,-1,3,-3,3,-3,3,-3,8,2,1,5
.Hmg-Y<9,1,0,-1,-1,0,0,-1,10.714245517666122,HYmg9.-<,-10.714245517666122,-1,0,1,1,0,0,1,6,-6,6,-6,6,-6,8,4,1,3
72Cc9&xj,0,0,-1,0,1,0,0,10.129283016944967,Ccxj729&,-10.129283016944967,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,8,4,3,1
!ONw-m9T,1,0,-1,0,1,0,1,10.714245517666122,ONTwm9!-,-10.714245517666122,-1,0,1,0,-1,0,-1,7,-7,7,-7,7,-7,8,5,1,2
(-YWGb1k,1,0,0,0,1,0,2,10.714245517666122,YWGbk1(-,-10.714245517666122,-1,0,0,0,-1,0,-2,4,-4,4,-4,4,-4,8,5,1,2
vvX{Zv6P,0,0,-1,0,1,0,0,10.129283016944967,XZPvvv6{,-10.129283016944967,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,8,6,1,1
^lQCu1-u,1,0,0,0,0,1,2,10.714245517666122,QCluu1^-,-10.714245517666122,-1,0,0,0,0,-1,-2,4,-4,4,-4,4,-4,8,5,1,2
2G2Uv*AD,0,0,-1,0,1,-1,-1,9.714245517666122,GUADv22*,-9.714245517666122,0,0,1,0,-1,1,1,7,-7,7,-7,7,-7,8,5,2,1
-kgeG1eb,1,0,-1,1,1,0,2,8.39231742277876,Gkgeeb1-,-8.39231742277876,-1,0,1,-1,-1,0,-2,4,-4,4,-4,4,-4,8,6,1,1
4m^~fP$w,0,2,-2,1,0,0,1,10.129283016944967,Pmfw4^~$,-10.129283016944967,0,-2,2,-1,0,0,-1,7,-7,7,-7,7,-7,8,4,1,3
2T%{w#+J,0,2,-1,-1,0,0,0,9.714245517666122,TJw2%{#+,-9.714245517666122,0,-2,1,1,0,0,0,7,-7,7,-7,7,-7,8,3,1,4
=3)iAcO$,1,0,-1,0,0,0,0,10.714245517666122,AOic3=)$,-10.714245517666122,-1,0,1,0,0,0,0,3,-3,3,-3,3,-3,8,4,1,3
?N9dB.d*,1,0,-1,0,1,0,1,10.714245517666122,NBdd9?.*,-10.714245517666122,-1,0,1,0,-1,0,-1,9,-9,9,-9,9,-9,8,4,1,3
h^z=x6Xy,0,1,-1,0,1,0,1,9.714245517666122,Xhzxy6^=,-9.714245517666122,0,-1,1,0,-1,0,-1,7,-7,7,-7,7,-7,8,5,1,2
"dX-m3TA,",0,1,-1,1,1,0,2,10.714245517666122,"XTAdm3-,",-10.714245517666122,0,-1,1,-1,-1,0,-2,6,-6,6,-6,6,-6,8,5,1,2
rX1c6*!6,0,1,0,1,1,0,3,10.714245517666122,Xrc166*!,-10.714245517666122,0,-1,0,-1,-1,0,-3,3,-3,3,-3,3,-3,8,3,3,2
{Xf6!j(O,1,0,-1,-1,0,1,0,10.714245517666122,XOfj6{!(,-10.714245517666122,-1,0,1,1,0,-1,0,7,-7,7,-7,7,-7,8,4,1,3
2lW3]9c&,0,1,-1,1,1,0,2,10.714245517666122,Wlc239]&,-10.714245517666122,0,-1,1,-1,-1,0,-2,6,-6,6,-6,6,-6,8,3,3,2
)Qzz1N/m,1,0,0,-1,1,0,1,10.714245517666122,QNzzm1)/,-10.714245517666122,-1,0,0,1,-1,0,-1,7,-7,7,-7,7,-7,8,5,1,2
ic&iVr91,0,0,-2,1,0,0,-1,9.714245517666122,Vicir91&,-9.714245517666122,0,0,2,-1,0,0,1,3,-3,3,-3,3,-3,8,5,2,1
b&T>uzi6,0,1,-1,0,0,0,0,9.714245517666122,Tbuzi6&>,-9.714245517666122,0,-1,1,0,0,0,0,6,-6,6,-6,6,-6,8,5,1,2
