originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
v1!_VL,0,0,-1,0,0,0,-1,8.714245517666122,VLv1!_,-8.714245517666122,0,0,1,0,0,0,1,3,-3,3,-3,3,-3,7,3,1,3
t4r!J1,0,0,-1,0,1,0,0,9.299208018387276,Jtr41!,-9.299208018387276,0,0,1,0,-1,0,0,6,-6,6,-6,6,-6,7,3,2,2
r]6J+N,0,0,-1,-1,0,0,-2,8.714245517666122,JNr6]+,-8.714245517666122,0,0,1,1,0,0,2,6,-6,6,-6,6,-6,7,3,1,3
q856VW,0,0,0,0,1,0,1,8.714245517666122,VWq856,-8.714245517666122,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,7,3,3,1
o5;*nX,0,0,-1,1,0,1,1,8.714245517666122,Xon5;*,-8.714245517666122,0,0,1,-1,0,-1,-1,3,-3,3,-3,3,-3,7,3,1,3
mo3u+H,0,0,-1,0,1,0,0,8.714245517666122,Hmou3+,-8.714245517666122,0,0,1,0,-1,0,0,6,-6,6,-6,6,-6,7,4,1,2
i2)2WQ,0,0,-2,0,0,0,-2,9.299208018387276,WQi22),-9.299208018387276,0,0,2,0,0,0,2,3,-3,3,-3,3,-3,7,3,2,2
g8:6AR,0,0,-2,0,0,0,-2,9.299208018387276,ARg86:,-9.299208018387276,0,0,2,0,0,0,2,3,-3,3,-3,3,-3,7,3,2,2
d:4}nY,0,0,-1,1,0,0,0,8.714245517666122,Ydn4:},-8.714245517666122,0,0,1,-1,0,0,0,3,-3,3,-3,3,-3,7,3,1,3
c8>|NG,0,0,-1,0,0,0,-1,8.714245517666122,NGc8>|,-8.714245517666122,0,0,1,0,0,0,1,3,-3,3,-3,3,-3,7,3,1,3
8l^Q-T,0,0,-1,-1,0,0,-2,8.714245517666122,QTl8^-,-8.714245517666122,0,0,1,1,0,0,2,9,-9,9,-9,9,-9,7,3,1,3
7s$U]p,0,0,-1,0,0,1,0,8.714245517666122,Usp7$],-8.714245517666122,0,0,1,0,0,-1,0,9,-9,9,-9,9,-9,7,3,1,3
7*pauR,0,0,-1,1,0,0,0,8.714245517666122,Rpau7*,-8.714245517666122,0,0,1,-1,0,0,0,3,-3,3,-3,3,-3,7,4,1,2
5c2`Qe,0,0,-1,0,1,0,0,9.299208018387276,Qce52`,-9.299208018387276,0,0,1,0,-1,0,0,6,-6,6,-6,6,-6,7,3,2,2
4o6&4D,0,0,-1,0,1,1,1,8.714245517666122,Do464&,-8.714245517666122,0,0,1,0,-1,-1,-1,6,-6,6,-6,6,-6,7,2,3,2
