originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
v1!_VL,0,1,-1,0,0,0,0,7.491853096329674,VLv1!_,-7.491853096329674,0,-1,1,0,0,0,0,1,-1,1,-1,1,-1,6,3,1,2
t4r!J1,0,0,-1,0,1,0,0,7.491853096329674,Jtr41!,-7.491853096329674,0,0,1,0,-1,0,0,6,-6,6,-6,6,-6,6,3,2,1
r]6J+N,0,1,-1,-1,0,0,-1,7.491853096329674,JNr6]+,-7.491853096329674,0,-1,1,1,0,0,1,4,-4,4,-4,4,-4,6,3,1,2
q856VW,0,0,0,0,1,0,1,5.906890595608516,VWq856,-5.906890595608516,0,0,0,0,-1,0,-1,1,-1,1,-1,1,-1,6,3,3,0
o5;*nX,0,1,-1,1,0,1,2,7.491853096329674,Xon5;*,-7.491853096329674,0,-1,1,-1,0,-1,-2,1,-1,1,-1,1,-1,6,3,1,2
mo3u+H,0,0,-1,0,1,0,0,6.906890595608516,Hmou3+,-6.906890595608516,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,6,4,1,1
i2)2WQ,0,0,-2,0,0,0,-2,7.491853096329674,WQi22),-7.491853096329674,0,0,2,0,0,0,2,1,-1,1,-1,1,-1,6,3,2,1
g8:6AR,0,0,-2,0,0,0,-2,7.491853096329674,ARg86:,-7.491853096329674,0,0,2,0,0,0,2,1,-1,1,-1,1,-1,6,3,2,1
d:4}nY,0,1,-1,1,0,0,1,7.491853096329674,Ydn4:},-7.491853096329674,0,-1,1,-1,0,0,-1,1,-1,1,-1,1,-1,6,3,1,2
c8>|NG,0,1,-1,0,0,0,0,7.491853096329674,NGc8>|,-7.491853096329674,0,-1,1,0,0,0,0,1,-1,1,-1,1,-1,6,3,1,2
8l^Q-T,0,1,-1,-1,0,0,-1,7.491853096329674,QTl8^-,-7.491853096329674,0,-1,1,1,0,0,1,7,-7,7,-7,7,-7,6,3,1,2
7s$U]p,0,1,-1,0,0,1,1,7.491853096329674,Usp7$],-7.491853096329674,0,-1,1,0,0,-1,-1,7,-7,7,-7,7,-7,6,3,1,2
7*pauR,0,0,-1,1,0,0,0,6.906890595608516,Rpau7*,-6.906890595608516,0,0,1,-1,0,0,0,1,-1,1,-1,1,-1,6,4,1,1
5c2`Qe,0,0,-1,0,1,0,0,7.491853096329674,Qce52`,-7.491853096329674,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,6,3,2,1
4o6&4D,0,0,-1,0,1,1,1,6.906890595608516,Do464&,-6.906890595608516,0,0,1,0,-1,-1,-1,4,-4,4,-4,4,-4,6,2,3,1
3qq:Q-,0,1,0,0,0,0,1,7.491853096329674,Qqq3:-,-7.491853096329674,0,-1,0,0,0,0,-1,6,-6,6,-6,6,-6,6,3,1,2
3.bH1o,0,0,-1,1,1,1,2,7.491853096329674,Hbo31.,-7.491853096329674,0,0,1,-1,-1,-1,-2,4,-4,4,-4,4,-4,6,3,2,1
2fKIl1,0,0,0,0,1,0,1,6.491853096329677,KIfl21,-6.491853096329677,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,6,4,2,0
1v]0JL,0,0,-2,0,0,0,-2,7.491853096329674,JLv10],-7.491853096329674,0,0,2,0,0,0,2,4,-4,4,-4,4,-4,6,3,2,1
1q!+In,0,1,-1,0,0,-1,-1,7.491853096329674,Iqn1!+,-7.491853096329674,0,-1,1,0,0,1,1,4,-4,4,-4,4,-4,6,3,1,2
0o|0cV,0,0,-2,1,0,1,0,7.491853096329674,Voc00|,-7.491853096329674,0,0,2,-1,0,-1,0,4,-4,4,-4,4,-4,6,3,2,1
=66c&Q,1,0,0,0,0,0,1,7.491853096329674,Qc66=&,-7.491853096329674,-1,0,0,0,0,0,-1,4,-4,4,-4,4,-4,6,2,2,2
<bu1'W,1,0,0,0,0,0,1,7.491853096329674,Wbu1<',-7.491853096329674,-1,0,0,0,0,0,-1,4,-4,4,-4,4,-4,6,3,1,2
