originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
d#evadubU8,0,0,-1,1,0,0,0,9.491853096329677,Udevadub8#,-9.491853096329677,0,0,1,-1,0,0,0,3,-3,3,-3,3,-3,10,8,1,1
becr3d*eCr,0,0,-2,1,1,0,0,9.491853096329677,Cbecrder3*,-9.491853096329677,0,0,2,-1,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
phu=h3QuTh,0,0,-1,0,1,-1,-1,11.299208018387276,QTphuhuh3=,-11.299208018387276,0,0,1,0,-1,1,1,4,-4,4,-4,4,-4,10,8,1,1
qA7h!trana,0,0,-2,1,1,0,0,9.491853096329677,Aqhtrana7!,-9.491853096329677,0,0,2,-1,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
Haravaf@a6,0,0,-1,0,0,0,-1,9.491853096329677,Haravafa6@,-9.491853096329677,0,0,1,0,0,0,1,3,-3,3,-3,3,-3,10,8,1,1
Pr3wr@vUpA,0,0,-1,0,1,0,0,12.299208018387276,PUArwrvp3@,-12.299208018387276,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
crey4Cefa-,0,0,0,0,1,0,1,9.491853096329677,Ccreyefa4-,-9.491853096329677,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,10,8,1,1
2UWu+areth,0,0,-2,0,0,-1,-3,11.299208018387276,UWuareth2+,-11.299208018387276,0,0,2,0,0,1,3,4,-4,4,-4,4,-4,10,8,1,1
Benepre@6A,0,0,-1,-1,0,0,-2,11.299208018387276,BAenepre6@,-11.299208018387276,0,0,1,1,0,0,2,1,-1,1,-1,1,-1,10,8,1,1
7=AtaguwrA,0,0,-1,0,0,0,-1,11.299208018387276,AAtaguwr7=,-11.299208018387276,0,0,1,0,0,0,1,1,-1,1,-1,1,-1,10,8,1,1
fUzaCha7U-,0,0,0,0,1,0,1,12.299208018387276,UCUfzaha7-,-12.299208018387276,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,10,8,1,1
d8EchESwa$,0,0,0,0,1,0,1,12.299208018387276,EESdchwa8$,-12.299208018387276,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,10,8,1,1
Cr2br*pusw,0,0,-1,0,1,0,0,9.491853096329677,Crbrpusw2*,-9.491853096329677,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
4@UPafEkez,0,0,-1,0,0,0,-1,12.299208018387276,UPEafkez4@,-12.299208018387276,0,0,1,0,0,0,1,1,-1,1,-1,1,-1,10,8,1,1
yEFasw=6te,0,0,-2,0,0,-1,-3,11.299208018387276,EFyaswte6=,-11.299208018387276,0,0,2,0,0,1,3,1,-1,1,-1,1,-1,10,8,1,1
pRuj@s5uBA,0,0,-2,1,1,-1,-1,12.299208018387276,RBApujsu5@,-12.299208018387276,0,0,2,-1,-1,1,1,4,-4,4,-4,4,-4,10,8,1,1
GEnet5wA@E,0,0,-1,0,1,0,0,12.621136113274645,GEAEnetw5@,-12.621136113274645,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
?upHu8uXuS,1,0,-1,0,1,0,1,12.299208018387276,HXSupuuu8?,-12.299208018387276,-1,0,1,0,-1,0,-1,4,-4,4,-4,4,-4,10,8,1,1
kE-r4wReTh,0,0,-2,1,1,-1,-1,12.299208018387276,ERTkrweh4-,-12.299208018387276,0,0,2,-1,-1,1,1,4,-4,4,-4,4,-4,10,8,1,1
dUJatha+4e,0,0,-1,0,0,0,-1,11.299208018387276,UJdathae4+,-11.299208018387276,0,0,1,0,0,0,1,1,-1,1,-1,1,-1,10,8,1,1
fres5u*Ruz,0,0,-2,0,1,-1,-2,9.491853096329677,Rfresuuz5*,-9.491853096329677,0,0,2,0,-1,1,2,4,-4,4,-4,4,-4,10,8,1,1
ja+eBreWA3,0,0,-2,0,0,-1,-3,12.299208018387276,BWAjaere3+,-12.299208018387276,0,0,2,0,0,1,3,3,-3,3,-3,3,-3,10,8,1,1
Z?phePR3tr,0,0,-1,0,1,0,0,12.299208018387276,ZPRphetr3?,-12.299208018387276,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
Dra5+jUMeJ,0,0,-2,0,0,-1,-3,12.621136113274645,DUMJraje5+,-12.621136113274645,0,0,2,0,0,1,3,1,-1,1,-1,1,-1,10,8,1,1
paWuvuq7x*,0,0,0,1,1,0,2,9.491853096329677,Wpauvuqx7*,-9.491853096329677,0,0,0,-1,-1,0,-2,3,-3,3,-3,3,-3,10,8,1,1
CraM6@atas,0,0,-1,0,0,-1,-2,11.299208018387276,CMraatas6@,-11.299208018387276,0,0,1,0,0,1,2,1,-1,1,-1,1,-1,10,8,1,1
wruC?t7ugu,0,0,-2,1,1,-1,-1,9.491853096329677,Cwrutugu7?,-9.491853096329677,0,0,2,-1,-1,1,1,4,-4,4,-4,4,-4,10,8,1,1
sTA&R7yetA,0,0,-1,1,1,-1,0,12.621136113274645,TARAsyet7&,-12.621136113274645,0,0,1,-1,-1,1,0,4,-4,4,-4,4,-4,10,8,1,1
FeK$nAduR6,0,0,-1,1,0,-1,-1,12.621136113274645,FKARendu6$,-12.621136113274645,0,0,1,-1,0,1,1,3,-3,3,-3,3,-3,10,8,1,1
Buph+jAwu4,0,0,-2,0,0,-1,-3,11.299208018387276,BAuphjwu4+,-11.299208018387276,0,0,2,0,0,1,3,3,-3,3,-3,3,-3,10,8,1,1
sPA8a#rejU,0,0,-1,1,1,-1,0,12.299208018387276,PAUsarej8#,-12.299208018387276,0,0,1,-1,-1,1,0,4,-4,4,-4,4,-4,10,8,1,1
r8cu!Urada,0,0,-2,0,1,0,-1,9.491853096329677,Urcurada8!,-9.491853096329677,0,0,2,0,-1,0,1,4,-4,4,-4,4,-4,10,8,1,1
g_xust5qUw,0,0,-1,1,1,0,1,9.491853096329677,Ugxustqw5_,-9.491853096329677,0,0,1,-1,-1,0,-1,4,-4,4,-4,4,-4,10,8,1,1
REqabr3h#W,0,0,-1,0,1,0,0,12.299208018387276,REWqabrh3#,-12.299208018387276,0,0,1,0,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
Yes2asutr=,0,0,0,0,1,0,1,9.491853096329677,Yesasutr2=,-9.491853096329677,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,10,8,1,1
sw@qu7EfrU,0,0,-2,0,1,0,-1,11.299208018387276,EUswqufr7@,-11.299208018387276,0,0,2,0,-1,0,1,4,-4,4,-4,4,-4,10,8,1,1
wRus-aqe2e,0,0,-2,1,1,0,0,9.491853096329677,Rwusaqee2-,-9.491853096329677,0,0,2,-1,-1,0,0,4,-4,4,-4,4,-4,10,8,1,1
we_eWen8fe,0,0,-2,1,1,-1,-1,9.491853096329677,Wweeenfe8_,-9.491853096329677,0,0,2,-1,-1,1,1,4,-4,4,-4,4,-4,10,8,1,1
7razA_rasw,0,0,-1,1,0,-1,-1,9.491853096329677,Arazrasw7_,-9.491853096329677,0,0,1,-1,0,1,1,4,-4,4,-4,4,-4,10,8,1,1
