originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
zT2v^4$h,0,1,-1,1,1,0,2,10.714245517666122,Tzvh24^$,-10.714245517666122,0,-1,1,-1,-1,0,-2,4,-4,4,-4,4,-4,8,4,2,2
2QrS.q}],0,2,-1,0,0,0,1,10.714245517666122,QSrq2.}],-10.714245517666122,0,-2,1,0,0,0,-1,6,-6,6,-6,6,-6,8,4,1,3
37oRhXy#,0,0,0,0,0,0,0,10.714245517666122,RXohy37#,-10.714245517666122,0,0,0,0,0,0,0,3,-3,3,-3,3,-3,8,5,2,1
d1gdA$>n,0,1,0,1,1,0,3,9.714245517666122,Adgdn1$>,-9.714245517666122,0,-1,0,-1,-1,0,-3,4,-4,4,-4,4,-4,8,5,1,2
n/1X00.X,0,1,-1,-1,1,0,0,10.714245517666122,XXn100/.,-10.714245517666122,0,-1,1,1,-1,0,0,4,-4,4,-4,4,-4,8,3,3,2
yMO|6{Z),0,2,-1,0,0,0,1,10.129283016944967,MOZy6|{),-10.129283016944967,0,-2,1,0,0,0,-1,3,-3,3,-3,3,-3,8,4,1,3
;07m#QUV,1,0,-1,0,0,0,0,10.714245517666122,QUVm07;#,-10.714245517666122,-1,0,1,0,0,0,0,4,-4,4,-4,4,-4,8,4,2,2
1xQ1/Udh,0,0,-2,0,1,0,-1,10.714245517666122,QUxdh11/,-10.714245517666122,0,0,2,0,-1,0,1,4,-4,4,-4,4,-4,8,5,2,1
",0eK_|})",1,0,0,1,0,0,2,8.39231742277876,"Ke0,_|})",-8.39231742277876,-1,0,0,-1,0,0,-2,3,-3,3,-3,3,-3,8,2,1,5
wE_~UH75,0,1,-1,1,0,-1,0,10.714245517666122,EUHw75_~,-10.714245517666122,0,-1,1,-1,0,1,0,3,-3,3,-3,3,-3,8,4,2,2
=OZx|H2-,1,0,-1,0,0,0,0,10.129283016944967,OZHx2=|-,-10.129283016944967,-1,0,1,0,0,0,0,6,-6,6,-6,6,-6,8,4,1,3
"z7hv3M,}",0,1,0,0,1,0,2,10.714245517666122,"Mzhv73,}",-10.714245517666122,0,-1,0,0,-1,0,-2,6,-6,6,-6,6,-6,8,4,2,2
s5K6z$JN,0,0,-1,0,1,0,0,10.714245517666122,KJNsz56$,-10.714245517666122,0,0,1,0,-1,0,0,7,-7,7,-7,7,-7,8,5,2,1
d:S.O01Z,0,1,-1,-1,1,1,1,10.714245517666122,SOZd01:.,-10.714245517666122,0,-1,1,1,-1,-1,-1,7,-7,7,-7,7,-7,8,4,2,2
-}s60[J8,1,0,-1,0,0,0,0,10.129283016944967,Js608-}[,-10.129283016944967,-1,0,1,0,0,0,0,6,-6,6,-6,6,-6,8,2,3,3
"v2oX,Djq",0,0,-2,0,1,0,-1,9.714245517666122,"XDvojq2,",-9.714245517666122,0,0,2,0,-1,0,1,4,-4,4,-4,4,-4,8,6,1,1
lKF83Qs+,0,0,0,0,1,0,1,10.714245517666122,KFQls83+,-10.714245517666122,0,0,0,0,-1,0,-1,3,-3,3,-3,3,-3,8,5,2,1
[W#;zB7i,1,0,-1,0,1,1,2,10.714245517666122,WBzi7[#;,-10.714245517666122,-1,0,1,0,-1,-1,-2,7,-7,7,-7,7,-7,8,4,1,3
%Bzd_1Y8,1,0,-1,-1,1,1,1,11.299208018387276,BYzd18%_,-11.299208018387276,-1,0,1,1,-1,-1,-1,6,-6,6,-6,6,-6,8,4,2,2
76?KlRCe,0,0,-2,0,0,1,-1,10.714245517666122,KRCle76?,-10.714245517666122,0,0,2,0,0,-1,1,1,-1,1,-1,1,-1,8,5,2,1
lVz4QC=y,0,0,-1,0,1,1,1,10.129283016944967,VQClzy4=,-10.129283016944967,0,0,1,0,-1,-1,-1,4,-4,4,-4,4,-4,8,6,1,1
tU8|k{io,0,1,-1,1,0,0,1,9.714245517666122,Utkio8|{,-9.714245517666122,0,-1,1,-1,0,0,-1,4,-4,4,-4,4,-4,8,5,1,2
={oJG8UP,1,0,0,0,1,0,2,9.714245517666122,JGUPo8={,-9.714245517666122,-1,0,0,0,-1,0,-2,4,-4,4,-4,4,-4,8,5,1,2
hcc{L%00,0,1,-1,0,0,0,0,10.714245517666122,Lhcc00{%,-10.714245517666122,0,-1,1,0,0,0,0,3,-3,3,-3,3,-3,8,4,2,2
/w2VB$u7,1,0,-1,0,1,1,2,11.299208018387276,VBwu27/$,-11.299208018387276,-1,0,1,0,-1,-1,-2,9,-9,9,-9,9,-9,8,4,2,2
"23J,f7Q$",0,1,0,-1,1,0,1,10.714245517666122,"JQf237,$",-10.714245517666122,0,-1,0,1,-1,0,-1,9,-9,9,-9,9,-9,8,3,3,2
1$bSt({o,0,2,-1,1,0,1,3,10.129283016944967,Sbto1$({,-10.129283016944967,0,-2,1,-1,0,-1,-3,4,-4,4,-4,4,-4,8,4,1,3
3l+n1:nT,0,1,-2,1,0,0,0,10.714245517666122,Tlnn31+:,-10.714245517666122,0,-1,2,-1,0,0,0,7,-7,7,-7,7,-7,8,4,2,2
{yF|$M4W,1,0,-2,0,1,0,0,10.129283016944967,FMWy4{|$,-10.129283016944967,-1,0,2,0,-1,0,0,7,-7,7,-7,7,-7,8,4,1,3
"c;,dH5;a",0,2,-1,1,0,1,3,10.129283016944967,"Hcda5;,;",-10.129283016944967,0,-2,1,-1,0,-1,-3,4,-4,4,-4,4,-4,8,4,1,3
u?9#X2L-,0,2,-1,-1,1,1,2,10.714245517666122,XLu92?#-,-10.714245517666122,0,-2,1,1,-1,-1,-2,6,-6,6,-6,6,-6,8,3,2,3
=r3$7r>Y,1,0,-2,0,0,1,0,10.714245517666122,Yrr37=$>,-10.714245517666122,-1,0,2,0,0,-1,0,7,-7,7,-7,7,-7,8,3,2,3
nN09z9J^,0,0,0,0,1,0,1,10.714245517666122,NJnz099^,-10.714245517666122,0,0,0,0,-1,0,-1,6,-6,6,-6,6,-6,8,4,3,1
6f$&E*(0,0,2,-1,0,0,1,2,9.714245517666122,Ef60$&*(,-9.714245517666122,0,-2,1,0,0,-1,-2,6,-6,6,-6,6,-6,8,2,2,4
i1Fqh^2N,0,0,-1,-1,1,1,0,10.714245517666122,FNiqh12^,-10.714245517666122,0,0,1,1,-1,-1,0,4,-4,4,-4,4,-4,8,5,2,1
"qdQ4W,N0",0,0,-1,0,1,0,0,10.714245517666122,"QWNqd40,",-10.714245517666122,0,0,1,0,-1,0,0,6,-6,6,-6,6,-6,8,5,2,1
sGQdm@9/,0,1,0,0,0,0,1,10.714245517666122,GQsdm9@/,-10.714245517666122,0,-1,0,0,0,0,-1,0,0,0,0,0,0,8,5,1,2
?G6Mz:OJ,1,0,-1,0,1,1,2,9.714245517666122,GMOJz6?:,-9.714245517666122,-1,0,1,0,-1,-1,-2,7,-7,7,-7,7,-7,8,5,1,2
b#z}5LKO,0,1,-1,0,0,0,0,10.714245517666122,LKObz5#},-10.714245517666122,0,-1,1,0,0,0,0,4,-4,4,-4,4,-4,8,5,1,2
