originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
@k5kl$MT,1,0,1,1,1,0,4,52.4367108134211,MTkkl5@$,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,0,3,19,12,19,12,19,12,8,5,1,2
5#^JRIdf,0,1,1,1,0,-1,2,52.4367108134211,JRIdf5#^,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,-1,2,14,13,14,13,14,13,8,5,1,2
s|}3CVI~,0,3,1,1,0,-1,4,52.4367108134211,CVIs3|}~,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,1,0,-1,3,16,13,16,13,16,13,8,4,1,3
gF$8*-a+,0,5,0,1,0,0,6,52.4367108134211,Fga8$*-+,42.72246529575498,9.714245517666123,18.525657629882797,0,3,1,0,0,-1,3,14,11,14,11,14,11,8,3,1,4
8IBrUMZ*,0,0,3,1,0,-1,3,52.4367108134211,IBUMZr8*,44.04439339064234,8.39231742277876,16.0046602706262,0,0,3,1,0,-1,3,18,15,18,15,18,15,8,6,1,1
uW}i98!<,0,3,1,1,0,-1,4,52.4367108134211,Wui98}!<,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,0,0,-1,2,14,11,14,11,14,11,8,3,2,3
$j0x=<UC,1,1,1,1,1,0,5,52.4367108134211,UCjx0$=<,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,0,4,19,12,19,12,19,12,8,4,1,3
a6Jy{d!~,0,3,1,0,1,-1,4,52.4367108134211,Jayd6{!~,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,-1,2,17,11,17,11,17,11,8,4,1,3
?|lw^qI4,1,1,0,1,0,0,3,52.4367108134211,Ilwq4?|^,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,-1,2,17,11,17,11,17,11,8,4,1,3
<uO3B0QT,1,0,2,1,1,0,5,52.4367108134211,OBQTu30<,42.72246529575498,9.714245517666123,18.525657629882797,0,0,3,1,0,-1,3,21,14,21,14,21,14,8,5,2,1
