originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
tredsecx2T-r,0,0,4,0,1,-1,4,78.65506622013166,Ttredsecxr2-,68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,19,15,19,15,19,15,12,10,1,1
thesunerunW2),0,0,5,1,0,-1,5,85.2096550718093,Wthesunerun2),74.46482123430975,10.744833837499547,12.609878338839046,0,0,5,0,0,-1,4,16,16,16,16,16,16,13,11,1,1
thep1etd)mdsaY,0,0,4,1,1,-2,4,91.76424392348693,Ythepetdmdsa1),80.67148678256707,11.092757140919852,12.088321841532306,0,0,5,0,0,-1,4,21,17,21,17,21,17,14,12,1,1
Thejumprun(9,0,0,4,0,0,-1,3,78.65506622013166,Thejumprun9(,68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,15,15,15,15,15,15,12,10,1,1
themanrun$8R,0,0,4,0,0,-1,3,78.65506622013166,Rthemanrun8$,68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,16,15,16,15,16,15,12,10,1,1
nicole3Wrii),0,0,5,0,1,-1,5,78.65506622013166,Wnicolerii3),68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,18,15,18,15,18,15,12,10,1,1
theisljapjkf9)U,0,0,5,0,0,-1,4,98.31883277516458,Utheisljapjkf9),86.90414753935737,11.414685235807216,11.609866506359273,0,0,5,0,0,-1,4,19,18,19,18,19,18,15,13,1,1
theouitjjdsjf(I0,0,0,5,0,0,-1,4,104.8734216268422,Itheouitjjdsjf0(,93.15917610917609,11.714245517666122,11.169889697455886,0,0,5,0,0,-1,4,22,19,22,19,22,19,16,14,1,1
theoijidjfgir[*0O,0,1,5,0,0,-1,5,111.42801047851985,Otheoijidjfgir0[*,96.6263021196034,14.801708358916462,13.283651296789339,0,0,5,0,0,-1,4,21,20,21,20,21,20,17,14,1,2
theaserffslmg;0I,0,0,5,0,0,-1,4,104.8734216268422,Itheaserffslmg0;,93.15917610917609,11.714245517666122,11.169889697455886,0,0,5,0,0,-1,4,20,19,20,19,20,19,16,14,1,1
nicole2laceS9),0,0,5,1,1,-1,6,91.76424392348693,Snicolelace29),78.21205516392978,13.552188759557149,14.768485174745155,0,0,5,0,0,-1,4,20,17,20,17,20,17,14,11,2,1
Nicole29Slacey),0,0,5,0,1,-1,5,98.31883277516458,NSicolelacey29),81.85975341999891,16.45907935516567,16.74051541356708,0,0,5,1,0,-1,5,22,19,22,19,22,19,15,12,2,1
Nicole29lacey(,0,0,5,0,1,-1,5,91.76424392348693,Nicolelacey29(,78.21205516392978,13.552188759557149,14.768485174745155,0,0,5,0,0,-1,4,20,17,20,17,20,17,14,11,2,1
Nicole32lacey(,0,0,5,0,1,-1,5,91.76424392348693,Nicolelacey32(,78.21205516392978,13.552188759557149,14.768485174745155,0,0,5,0,0,-1,4,20,17,20,17,20,17,14,11,2,1
Nicole30-Lkd,0,0,3,0,0,-1,2,78.65506622013166,NLicolekd30-,64.11881900444354,14.536247215688128,18.481005629066008,0,0,5,1,0,-1,5,17,16,17,16,17,16,12,9,2,1
Nicoel)0dksj,0,0,3,0,0,-1,2,78.65506622013166,Nicoeldksj0),68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,16,15,16,15,16,15,12,10,1,1
shootlove9(dosU,0,0,5,1,0,-2,4,98.31883277516458,Ushootlovedos9(,86.90414753935737,11.414685235807216,11.609866506359273,0,0,5,0,0,-1,4,19,18,19,18,19,18,15,13,1,1
toeodert(kx0I,0,0,4,0,1,-1,4,85.2096550718093,Itoeodertkx0(,74.46482123430975,10.744833837499547,12.609878338839046,0,0,5,0,0,-1,4,20,16,20,16,20,16,13,11,1,1
sunrunmanCar)9,0,0,5,1,0,-1,5,91.76424392348693,Csunrunmanar9),80.67148678256707,11.092757140919852,12.088321841532306,0,0,5,0,0,-1,4,17,17,17,17,17,17,14,12,1,1
tothelove39-)mK,0,1,5,1,0,-1,6,98.31883277516458,Ktothelovem39-),81.85975341999891,16.45907935516567,16.74051541356708,0,0,5,0,0,-1,4,19,18,19,18,19,18,15,11,2,2
the49Dthdslsk0fk_,0,0,5,0,1,-1,5,111.42801047851985,Dthethdslskfk490_,94.51082490218346,16.9171855763364,15.182166049350359,0,0,5,0,0,-1,4,26,20,26,20,26,20,17,13,3,1
thisewndr)0K,0,0,4,0,0,-1,3,78.65506622013166,Kthisewndr0),68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,16,15,16,15,16,15,12,10,1,1
kisha)0love00J,0,0,5,0,1,-2,4,91.76424392348693,Jkishalove000),76.47508956976357,15.289154353723356,16.661341825549677,0,0,5,0,0,-1,4,21,17,21,17,21,17,14,10,3,1
theotujj)4jsikoI,0,0,5,1,0,-2,4,104.8734216268422,Itheotujjjsiko4),93.15917610917609,11.714245517666122,11.169889697455886,0,0,5,0,0,-1,4,20,19,20,19,20,19,16,14,1,1
rorlfjfpdoirk;0I,0,0,5,0,0,-1,4,104.8734216268422,Irorlfjfpdoirk0;,93.15917610917609,11.714245517666122,11.169889697455886,0,0,5,0,0,-1,4,20,19,20,19,20,19,16,14,1,1
ekfgjptkz0-zkK,0,0,4,1,0,-1,4,91.76424392348693,Kekfgjptkzzk0-,80.67148678256707,11.092757140919852,12.088321841532306,0,0,5,0,0,-1,4,18,17,18,17,18,17,14,12,1,1
rkkkldkepflro9)40I,0,0,5,0,0,-1,4,117.98259933019747,Irkkkldkepflro940),100.59592847055985,17.38667085963762,14.736639943808669,0,0,5,0,0,-1,4,22,21,22,21,22,21,18,14,3,1
tyideswjo)P0,0,0,4,0,0,-1,3,78.65506622013166,Ptyideswjo0),68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,18,15,18,15,18,15,12,10,1,1
theiwast(09_kkO,0,1,3,1,0,-2,3,98.31883277516458,Otheiwastkk09(_,81.85975341999891,16.45907935516567,16.74051541356708,0,0,5,0,0,-1,4,19,18,19,18,19,18,15,11,2,2
elkgkrogm0+M,0,0,4,0,0,-1,3,78.65506622013166,Melkgkrogm0+,68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,16,15,16,15,16,15,12,10,1,1
tkpdskjtkjkrkjn_-0K,0,1,5,0,0,0,6,124.53718818187512,Ktkpdskjtkjkrkjn0_-,109.03187282573889,15.505315356136238,12.450349636521542,0,0,5,0,0,0,5,23,22,23,22,23,22,19,16,1,2
dtgotwtnoztlkmkngj)0J,0,0,5,0,0,-1,4,137.64636588523038,Jdtgotwtnoztlkmkngj0),124.68419285412067,12.962173031109709,9.417010720005187,0,0,5,0,0,-1,4,25,24,25,24,25,24,21,19,1,1
goejojojtofojetjok)J-9,0,1,5,0,0,-1,5,144.20095473690802,Jgoejojojtofojetjok9)-,127.779350087161,16.421604649747007,11.387999947509309,0,0,5,0,0,-1,4,28,25,28,25,28,25,22,19,1,2
K7d5P6t8r-P9,0,0,4,0,1,0,5,78.65506622013166,KPPdtr75689-,61.896426583107086,16.758639637024576,21.30649739728428,0,0,5,1,0,0,6,32,17,32,17,32,17,12,6,5,1
Y5w5=j2-r3P/,0,3,2,0,2,0,7,78.65506622013166,YPwjr5523=-/,60.57449848821972,18.080567731911938,22.98716230345534,0,1,4,1,0,-1,5,28,16,28,16,28,16,12,5,4,3
a7r9/69a5P1,0,0,3,0,2,0,5,72.10047736845401,Para796951/,58.92680023215059,13.17367713630342,18.271275887650745,0,0,4,0,0,-1,3,23,14,23,14,23,14,11,4,6,1
"A4pl,65q78I89",0,0,4,0,2,0,6,85.2096550718093,"AIplq4657889,",68.55793063870124,16.651724433108065,19.542062949409956,0,0,5,1,0,-1,5,26,17,26,17,26,17,13,5,7,1
R7845a65p4/P,0,0,4,0,1,0,5,78.65506622013166,RPap7845654/,64.11881900444354,14.536247215688128,18.481005629066008,0,0,5,1,0,-1,5,23,16,23,16,23,16,12,4,7,1
1QW8RT=96a48/,0,1,4,1,2,0,8,85.2096550718093,QWRTa189648=/,67.75057571664362,17.45907935516567,20.489555251047857,0,0,5,1,0,-1,5,28,19,28,19,28,19,13,5,6,2
n78E6954d65[,0,0,5,0,1,0,6,78.65506622013166,End78695465[,66.11881900444354,12.536247215688128,15.938257785713352,0,0,5,0,0,-1,4,21,15,21,15,21,15,12,3,8,1
O78f54z23;X89,0,0,4,0,1,0,5,85.2096550718093,OXfz78542389;,69.97296813798008,15.236686933829223,17.881409003461766,0,0,5,1,0,-1,5,26,17,26,17,26,17,13,4,8,1
DD45d32]98N23,0,0,4,1,2,0,7,85.2096550718093,DDNd45329823],70.55793063870124,14.651724433108065,17.1949110940075,0,0,5,1,0,0,6,24,18,24,18,24,18,13,4,8,1
a87854V23Z9887a45,0,0,5,0,1,0,6,111.42801047851985,VZaa8785423988745,97.6263021196034,13.801708358916462,12.386210881488402,0,0,5,1,0,-1,5,30,21,30,21,30,21,17,4,13,0
"A87w2163,21A987",0,0,5,0,2,0,7,98.31883277516458,"AAw87216321987,",84.3191850386362,13.99964773652837,14.239029635901753,0,0,5,1,0,-1,5,25,19,25,19,25,19,15,3,11,1
H45[]SD56dg23,0,1,4,1,1,0,7,85.2096550718093,HSDdg455623[],66.75057571664362,18.45907935516567,21.663131178749083,0,0,5,1,0,0,6,24,18,24,18,24,18,13,5,6,2
