originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
(jeUvf7$#,1,1,2,1,0,-1,4,58.99129966509874,Ujevf7($#,47.69209164671146,11.29920801838728,19.154024546898185,0,1,2,0,0,-1,2,14,12,14,12,13,13,9,5,1,3
*jl&n5Y~w,1,1,1,0,1,0,4,58.99129966509874,Yjlnw5*&~,47.69209164671146,11.29920801838728,19.154024546898185,0,1,2,0,0,-1,2,20,14,19,12,13,13,9,5,1,3
-=^mE5E+V,1,3,1,1,1,-1,6,58.99129966509874,EEVm5-=^+,47.69209164671146,11.29920801838728,19.154024546898185,0,3,2,1,0,-1,5,20,14,21,16,14,14,9,4,1,4
3feo8B6r|,0,0,3,0,1,-1,3,58.99129966509874,Bfeor386|,47.69209164671146,11.29920801838728,19.154024546898185,0,0,3,0,0,-1,2,18,12,18,12,11,11,9,5,3,1
f@3=OkK9q,0,1,1,1,1,-1,3,58.99129966509874,OKfkq39@=,46.1071291459903,12.884170519108435,21.840797867233885,0,0,3,1,0,-1,3,16,13,16,13,12,12,9,5,2,2
=6_hxrL?V,1,1,1,1,0,0,4,58.99129966509874,LVhxr6=_?,46.69209164671146,12.29920801838728,20.849189775799957,0,1,2,1,0,0,4,18,14,18,14,13,13,9,5,1,3
cv<~1uKbv,0,1,1,1,0,-1,2,58.99129966509874,Kcvubv1<~,48.42905724087767,10.562242424221072,17.904746096770698,0,0,3,0,0,-1,2,14,12,14,12,12,12,9,6,1,2
9q&$>3mNE,0,3,1,1,0,-1,4,58.99129966509874,NEqm93&$>,46.1071291459903,12.884170519108435,21.840797867233885,0,1,2,1,0,-1,3,17,13,17,13,14,14,9,4,2,3
vj4+e7[AS,0,1,1,1,0,-1,2,58.99129966509874,ASvje47+[,46.1071291459903,12.884170519108435,21.840797867233885,0,0,3,1,0,-1,3,17,13,17,13,12,12,9,5,2,2
0|bH4kKXJ,0,0,2,1,1,0,4,58.99129966509874,HKXJbk04|,47.1071291459903,11.884170519108435,20.145632638332117,0,0,3,1,0,0,4,18,15,18,15,14,14,9,6,2,1
o1JhOW?NU,0,0,2,2,1,-2,3,58.99129966509874,JOWNUoh1?,48.42905724087767,10.562242424221072,17.904746096770698,0,0,3,1,0,-1,3,18,15,18,15,15,15,9,7,1,1
",LXwX)F6e",1,0,2,1,1,0,5,58.99129966509874,"LXXFwe6,)",47.1071291459903,11.884170519108435,20.145632638332117,0,0,3,1,0,-1,3,19,14,19,14,14,14,9,6,1,2
|ZBE$~5d2,1,1,2,1,1,-1,5,58.99129966509874,ZBEd52|$~,46.69209164671146,12.29920801838728,20.849189775799957,0,1,2,1,0,-1,3,20,16,20,16,15,15,9,4,2,3
k8I4Qk%h@,0,0,2,0,1,0,3,58.99129966509874,IQkkh84%@,46.1071291459903,12.884170519108435,21.840797867233885,0,0,3,1,0,-1,3,19,14,19,14,13,13,9,5,2,2
?}Cb/0n%T,1,3,0,0,0,0,4,58.99129966509874,CTbn0?}/%,47.1071291459903,11.884170519108435,20.145632638332117,0,3,2,1,0,0,6,19,15,19,15,14,14,9,4,1,4
=5/JI><k},1,5,0,1,0,-1,6,58.99129966509874,JIk5=/><},48.42905724087767,10.562242424221072,17.904746096770698,0,5,1,1,0,-1,6,20,15,20,15,14,14,9,3,1,5
hf)kR^]C3,0,3,0,1,0,0,4,58.99129966509874,RChfk3)^],46.69209164671146,12.29920801838728,20.849189775799957,0,1,2,1,0,0,4,17,13,17,13,13,13,9,5,1,3
hB5mO=O$L,0,1,2,1,1,-1,4,58.99129966509874,BOOLhm5=$,47.1071291459903,11.884170519108435,20.145632638332117,0,0,3,1,0,-1,3,20,16,20,16,14,14,9,6,1,2
~mH*ipMw2,1,0,2,2,0,-1,4,58.99129966509874,HMmipw2~*,47.1071291459903,11.884170519108435,20.145632638332117,0,0,3,1,0,-1,3,18,13,17,14,13,13,9,6,1,2
s@T*u#6(v,0,5,0,0,0,0,5,58.99129966509874,Tsuv6@*#(,47.69209164671146,11.29920801838728,19.154024546898185,0,3,2,0,0,-1,4,19,13,18,13,14,14,9,4,1,4
4f4_ZPqPQ,0,0,2,1,1,0,4,58.99129966509874,ZPPQfq44_,47.1071291459903,11.884170519108435,20.145632638332117,0,0,3,1,0,0,4,18,15,18,15,14,14,9,6,2,1
?Za;kMd4@,1,1,1,1,0,-1,3,58.99129966509874,ZMakd4?;@,46.69209164671146,12.29920801838728,20.849189775799957,0,1,2,1,0,-1,3,16,12,16,12,13,13,9,5,1,3
.7PmkmCdP,1,0,3,1,0,0,5,58.99129966509874,PCPmkmd7.,47.69209164671146,11.29920801838728,19.154024546898185,0,0,3,1,0,0,4,14,13,14,13,12,12,9,7,1,1
1lM]|_dX5,0,3,1,2,0,0,6,58.99129966509874,MXld15]|_,46.1071291459903,12.884170519108435,21.840797867233885,0,1,2,1,0,0,4,17,13,17,13,13,13,9,4,2,3
djWe-3$]N,0,3,1,1,0,-1,4,58.99129966509874,WNdje3-$],46.69209164671146,12.29920801838728,20.849189775799957,0,1,2,1,0,-1,3,14,13,14,13,12,12,9,5,1,3
