originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
zT2v^4$h,0,1,1,1,1,0,4,52.4367108134211,Tzvh24^$,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,0,0,0,2,15,11,15,11,15,11,8,4,2,2
2QrS.q}],0,3,1,1,0,0,5,52.4367108134211,QSrq2.}],41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,0,4,18,12,18,12,18,12,8,4,1,3
37oRhXy#,0,0,3,1,0,-1,3,52.4367108134211,RXohy37#,41.72246529575498,10.714245517666123,20.432718512397287,0,0,3,1,0,-1,3,15,12,15,12,15,12,8,5,2,1
d1gdA$>n,0,1,2,1,1,-1,4,52.4367108134211,Adgdn1$>,42.72246529575498,9.714245517666123,18.525657629882797,0,0,2,0,0,-1,1,15,11,15,11,15,11,8,5,1,2
n/1X00.X,0,1,1,0,1,0,3,52.4367108134211,XXn100/.,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,0,3,16,12,16,12,16,12,8,3,3,2
yMO|6{Z),0,3,1,1,0,-1,4,52.4367108134211,MOZy6|{),42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,1,0,-1,3,16,13,16,13,16,13,8,4,1,3
;07m#QUV,1,0,1,1,0,-1,2,52.4367108134211,QUVm07;#,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,-1,2,17,13,17,13,17,13,8,4,2,2
1xQ1/Udh,0,0,1,1,1,-1,2,52.4367108134211,QUxdh11/,41.72246529575498,10.714245517666123,20.432718512397287,0,0,3,1,0,-1,3,16,12,16,12,16,12,8,5,2,1
",0eK_|})",1,5,1,1,0,-1,7,52.4367108134211,"Ke0,_|})",44.04439339064234,8.39231742277876,16.0046602706262,0,5,1,0,0,-1,5,14,11,14,11,14,11,8,2,1,5
wE_~UH75,0,1,1,2,0,-1,3,52.4367108134211,EUHw75_~,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,0,3,16,13,16,13,16,13,8,4,2,2
=OZx|H2-,1,1,1,1,0,-1,3,52.4367108134211,OZHx2=|-,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,1,0,-1,3,19,13,19,13,19,13,8,4,1,3
"z7hv3M,}",0,1,2,0,1,0,4,52.4367108134211,"Mzhv73,}",41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,0,0,0,2,17,11,17,11,17,11,8,4,2,2
s5K6z$JN,0,0,2,1,1,0,4,52.4367108134211,KJNsz56$,41.72246529575498,10.714245517666123,20.432718512397287,0,0,3,1,0,0,4,20,13,20,13,20,13,8,5,2,1
d:S.O01Z,0,1,1,0,1,0,3,52.4367108134211,SOZd01:.,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,1,0,-1,2,20,13,20,13,20,13,8,4,2,2
-}s60[J8,1,1,1,0,0,0,3,52.4367108134211,Js608-}[,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,0,3,17,11,17,11,17,11,8,2,3,3
"v2oX,Djq",0,0,1,1,1,-1,2,52.4367108134211,"XDvojq2,",42.72246529575498,9.714245517666123,18.525657629882797,0,0,3,1,0,-1,3,16,12,16,12,16,12,8,6,1,1
lKF83Qs+,0,0,3,1,1,0,5,52.4367108134211,KFQls83+,41.72246529575498,10.714245517666123,20.432718512397287,0,0,3,1,0,0,4,16,13,16,13,16,13,8,5,2,1
[W#;zB7i,1,1,1,1,1,0,5,52.4367108134211,WBzi7[#;,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,-1,3,19,12,19,12,19,12,8,4,1,3
