originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
d#evadubU8,0,0,3,1,0,-1,3,65.54588851677637,Udevadub8#,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,16,13,16,13,16,13,10,8,1,1
becr3d*eCr,0,0,2,1,1,-1,3,65.54588851677637,Cbecrder3*,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,17,13,17,13,17,13,10,8,1,1
phu=h3QuTh,0,0,3,1,1,-2,3,65.54588851677637,QTphuhuh3=,54.2466804983891,11.29920801838728,17.238622092208367,0,0,4,1,0,-1,4,18,14,18,14,18,14,10,8,1,1
qA7h!trana,0,0,2,1,1,-1,3,65.54588851677637,Aqhtrana7!,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,17,13,17,13,17,13,10,8,1,1
Haravaf@a6,0,0,3,0,0,-1,2,65.54588851677637,Haravafa6@,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,16,13,16,13,16,13,10,8,1,1
Pr3wr@vUpA,0,0,3,1,1,-1,4,65.54588851677637,PUArwrvp3@,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,19,15,19,15,19,15,10,8,1,1
crey4Cefa-,0,0,4,0,1,-1,4,65.54588851677637,Ccreyefa4-,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,16,13,16,13,16,13,10,8,1,1
2UWu+areth,0,0,2,1,0,-2,1,65.54588851677637,UWuareth2+,54.2466804983891,11.29920801838728,17.238622092208367,0,0,4,1,0,-1,4,18,14,18,14,18,14,10,8,1,1
Benepre@6A,0,0,3,0,0,-1,2,65.54588851677637,BAenepre6@,54.2466804983891,11.29920801838728,17.238622092208367,0,0,4,1,0,-1,4,15,14,15,14,15,14,10,8,1,1
7=AtaguwrA,0,0,3,1,0,-1,3,65.54588851677637,AAtaguwr7=,54.2466804983891,11.29920801838728,17.238622092208367,0,0,4,1,0,-1,4,15,14,15,14,15,14,10,8,1,1
fUzaCha7U-,0,0,4,1,1,-1,5,65.54588851677637,UCUfzaha7-,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,18,15,18,15,18,15,10,8,1,1
d8EchESwa$,0,0,4,1,1,-1,5,65.54588851677637,EESdchwa8$,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,18,15,18,15,18,15,10,8,1,1
Cr2br*pusw,0,0,3,0,1,-1,3,65.54588851677637,Crbrpusw2*,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,17,13,17,13,17,13,10,8,1,1
4@UPafEkez,0,0,3,1,0,-1,3,65.54588851677637,UPEafkez4@,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,16,15,16,15,16,15,10,8,1,1
yEFasw=6te,0,0,2,1,0,-2,1,65.54588851677637,EFyaswte6=,54.2466804983891,11.29920801838728,17.238622092208367,0,0,4,1,0,-1,4,15,14,15,14,15,14,10,8,1,1
pRuj@s5uBA,0,0,2,2,1,-2,3,65.54588851677637,RBApujsu5@,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,19,15,19,15,19,15,10,8,1,1
GEnet5wA@E,0,0,3,1,1,-1,4,65.54588851677637,GEAEnetw5@,52.92475240350173,12.621136113274641,19.25541997961364,0,0,4,1,0,-1,4,20,16,20,16,20,16,10,8,1,1
?upHu8uXuS,1,0,3,1,1,-1,5,65.54588851677637,HXSupuuu8?,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,19,15,19,15,19,15,10,8,1,1
kE-r4wReTh,0,0,2,2,1,-2,3,65.54588851677637,ERTkrweh4-,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,19,15,19,15,19,15,10,8,1,1
dUJatha+4e,0,0,3,1,0,-1,3,65.54588851677637,UJdathae4+,54.2466804983891,11.29920801838728,17.238622092208367,0,0,4,1,0,-1,4,15,14,15,14,15,14,10,8,1,1
fres5u*Ruz,0,0,2,0,1,-2,1,65.54588851677637,Rfresuuz5*,56.054035420446695,9.491853096329676,14.481233394067502,0,0,4,0,0,-1,3,17,13,17,13,17,13,10,8,1,1
ja+eBreWA3,0,0,2,1,0,-2,1,65.54588851677637,BWAjaere3+,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,18,15,18,15,18,15,10,8,1,1
Z?phePR3tr,0,0,3,1,1,-1,4,65.54588851677637,ZPRphetr3?,53.2466804983891,12.29920801838728,18.76427079821996,0,0,4,1,0,-1,4,19,15,19,15,19,15,10,8,1,1
Dra5+jUMeJ,0,0,2,1,0,-2,1,65.54588851677637,DUMJraje5+,52.92475240350173,12.621136113274641,19.25541997961364,0,0,4,1,0,-1,4,17,16,17,16,17,16,10,8,1,1
